"room_type","neighbourhood","occupancy_rate_percentage"
Private room,Oostelijk Havengebied - Indische Buurt,74.00
Entire home/apt,De Baarsjes - Oud-West,72.00
Entire home/apt,Oostelijk Havengebied - Indische Buurt,68.00
Entire home/apt,Zuid,67.00
Private room,De Pijp - Rivierenbuurt,64.00
Entire home/apt,Buitenveldert - Zuidas,62.00
Entire home/apt,Oud-Oost,61.00
Private room,Zuid,60.00
Entire home/apt,Westerpark,59.00
Entire home/apt,Centrum-Oost,58.00
Entire home/apt,De Pijp - Rivierenbuurt,57.00
Entire home/apt,Centrum-West,57.00
Private room,De Baarsjes - Oud-West,57.00
Private room,Centrum-West,56.00
Private room,Gaasperdam - Driemond,55.00
Entire home/apt,Bos en Lommer,54.00
Entire home/apt,Oud-Noord,53.00
Private room,Watergraafsmeer,47.00
Private room,Bos en Lommer,47.00
Private room,Oud-Oost,46.00
Entire home/apt,Watergraafsmeer,44.00
Entire home/apt,Geuzenveld - Slotermeer,42.00
Private room,Centrum-Oost,40.00
Private room,Westerpark,22.00
Entire home/apt,Slotervaart,7.00
Private room,Oud-Noord,4.00
Private room,Slotervaart,4.00
Entire home/apt,Noord-Oost,2.00
Shared room,Bos en Lommer,0.00
Private room,Noord-West,0.00
Shared room,Centrum-West,0.00
Shared room,Centrum-Oost,0.00
Private room,IJburg - Zeeburgereiland,0.00
Shared room,Bijlmer-Oost,0.00
Private room,Bijlmer-Centrum,0.00
Shared room,Noord-West,0.00
Shared room,Slotervaart,0.00
Entire home/apt,Bijlmer-Oost,0.00
Shared room,Buitenveldert - Zuidas,0.00
Shared room,Oostelijk Havengebied - Indische Buurt,0.00
Shared room,Gaasperdam - Driemond,0.00
Private room,Bijlmer-Oost,0.00
Entire home/apt,De Aker - Nieuw Sloten,0.00
Shared room,Westerpark,0.00
Entire home/apt,Bijlmer-Centrum,0.00
Private room,Osdorp,0.00
Private room,Noord-Oost,0.00
Entire home/apt,IJburg - Zeeburgereiland,0.00
Entire home/apt,Osdorp,0.00
Shared room,De Baarsjes - Oud-West,0.00
Shared room,Bijlmer-Centrum,0.00
Private room,Geuzenveld - Slotermeer,0.00
Shared room,Noord-Oost,0.00
Entire home/apt,Gaasperdam - Driemond,0.00
Shared room,Oud-Noord,0.00
Shared room,Zuid,0.00
Shared room,Watergraafsmeer,0.00
Shared room,Geuzenveld - Slotermeer,0.00
Shared room,De Pijp - Rivierenbuurt,0.00
Private room,De Aker - Nieuw Sloten,0.00
Entire home/apt,Noord-West,0.00
Shared room,IJburg - Zeeburgereiland,0.00
Shared room,Oud-Oost,0.00
Shared room,Osdorp,0.00
Private room,Buitenveldert - Zuidas,0.00
