"host_id","host_name","calculated_host_listings_count","host_status"
65859990,Martijn,208,komersil
1464510,Michiel And Jane,105,komersil
76104209,Rated,83,komersil
113977564,Willem,38,komersil
517215,Niels En Viv (Welcome Back),30,komersil
107745142,Oscar,27,komersil
14183886,Luis,25,komersil
11969034,Raul,24,komersil
7594884,"Ruben, Sarah & Lindy",21,komersil
44168250,Ruben,21,komersil
13405827,Cap Homes,19,komersil
84453740,David,19,komersil
669178,Sammy,17,komersil
14874061,Jasper,16,komersil
67005410,Feliciano,15,komersil
84449589,Christiaan,14,komersil
10076897,Geraldine,13,komersil
75206611,Milan & Koen,12,komersil
203731852,Sweets Hotel,12,komersil
212600641,Valentina,12,komersil
329249,Emmett,11,komersil
5796250,Remco,11,komersil
5833627,Greg,11,komersil
3040748,Henk,10,komersil
23895872,Dirk,10,komersil
46691672,Eva & Kobe,10,komersil
1477248,Erik,9,komersil
20648813,Darryl,9,komersil
50892346,Jorge,9,komersil
50975580,Yays,9,komersil
3899684,Kiki,8,komersil
8558897,Alex,8,komersil
22879651,Wamme,8,komersil
39113987,BnB-Beheer,8,komersil
68338234,Tanneke,8,komersil
226622106,Short Stay Group,8,komersil
1826139,Jan,7,komersil
12856622,Gert-Jan,7,komersil
20544193,Laura,7,komersil
25735043,Esther,7,komersil
69971797,BnB Beheer,7,komersil
70137500,G.,7,komersil
135487531,Rogier & Nicole,7,komersil
174174070,Amrath,7,komersil
219618697,Yays Zoutkeetsgracht,7,komersil
77484,Annelies,6,komersil
2321097,Melissa,6,komersil
9435259,Thierry,6,komersil
9957140,Max,6,komersil
15996910,Eva,6,komersil
26295351,Michelle,6,komersil
41042925,Dario,6,komersil
47078997,YourHomie,6,komersil
47499392,Inge,6,komersil
49154714,Reiner,6,komersil
84454553,Nico,6,komersil
89273051,Martin&Tina,6,komersil
115633795,Jesper,6,komersil
118946082,Rick,6,komersil
129545708,Mariska,6,komersil
131911468,Pedja&Nina,6,komersil
139090348,Nick,6,komersil
152013045,Asile Flottant,6,komersil
159469802,Alex,6,komersil
178187873,Pauline,6,komersil
192844667,Nabil,6,komersil
197286521,Harun,6,komersil
218294735,Bianca,6,komersil
218582446,Yays Oostenburgergracht,6,komersil
246493,Studio,5,komersil
436145,Riks,5,komersil
459028,Stefania,5,komersil
913437,Yael,5,komersil
2028878,James,5,komersil
5113662,Stefan,5,komersil
10711622,Esther (Mal And Ana),5,komersil
10726948,Sarah,5,komersil
16419683,Prince,5,komersil
21167882,Pauline,5,komersil
28551642,Zoe,5,komersil
30445609,Eddy,5,komersil
34664846,Celia,5,komersil
37154997,Wijnand,5,komersil
39108038,Niels,5,komersil
39110511,Mike,5,komersil
41994173,Soran,5,komersil
58141749,Liberte 1,5,komersil
60048976,Lucy,5,komersil
72040780,Keizershof,5,komersil
79345780,Sjoerd,5,komersil
87871054,Wouter,5,komersil
89273294,Sj,5,komersil
130896439,Emma,5,komersil
131423393,Hans Paul,5,komersil
135350335,Brian,5,komersil
143688295,Brian,5,komersil
147385181,Akhmad,5,komersil
169902808,Renate,5,komersil
184377695,Oz,5,komersil
206111729,Ton,5,komersil
217442757,Cemal,5,komersil
224294148,Short Stay Group,5,komersil
226806328,Waseem,5,komersil
228196756,Short Stay Group,5,komersil
228217790,Short Stay Group,5,komersil
229196646,Short Stay Group,5,komersil
187728,Tanya,4,komersil
1759884,Ivan,4,komersil
2049843,Christine Pieternella,4,komersil
2527236,Janine,4,komersil
2829587,Greg,4,komersil
3260802,Susan,4,komersil
3409826,Kith & Kin,4,komersil
3744858,A.,4,komersil
4977396,Lesley,4,komersil
5137582,C.T.,4,komersil
6211395,Laura,4,komersil
6311579,H.K.M,4,komersil
8801297,Natalie,4,komersil
16274382,Gina,4,komersil
16433767,Laura,4,komersil
18482089,Klaas,4,komersil
20355773,Miauw,4,komersil
21572827,Hetty,4,komersil
21831151,Faralda,4,komersil
22882527,Louis,4,komersil
23060454,Zina,4,komersil
25253393,F. Oya,4,komersil
25382324,Miek,4,komersil
25389632,Dan,4,komersil
27733078,Eva,4,komersil
30890942,Zoku Amsterdam,4,komersil
34785772,Patrick,4,komersil
35376227,Hus,4,komersil
45096883,Margreet,4,komersil
48934475,Will,4,komersil
68348715,Frank,4,komersil
110261330,Tanja,4,komersil
126613958,Firo & Adam,4,komersil
128826790,Natasja And Mylan,4,komersil
140928715,Brian,4,komersil
146720485,Peter,4,komersil
146766943,R,4,komersil
163578938,Fong,4,komersil
165633227,Anisha,4,komersil
