"neighbourhood","room_type","total_property"
De Baarsjes - Oud-West,Entire home/apt,60
De Pijp - Rivierenbuurt,Entire home/apt,45
Centrum-West,Entire home/apt,35
Westerpark,Entire home/apt,34
Centrum-Oost,Entire home/apt,22
Zuid,Entire home/apt,20
Oud-Oost,Entire home/apt,19
Bos en Lommer,Entire home/apt,15
Oostelijk Havengebied - Indische Buurt,Entire home/apt,6
Noord-West,Entire home/apt,4
Oud-Noord,Entire home/apt,4
Watergraafsmeer,Entire home/apt,4
IJburg - Zeeburgereiland,Entire home/apt,4
Centrum-West,Private room,3
Noord-Oost,Entire home/apt,2
Geuzenveld - Slotermeer,Entire home/apt,2
Westerpark,Private room,2
Watergraafsmeer,Private room,1
De Baarsjes - Oud-West,Private room,1
Oud-Oost,Private room,1
Watergraafsmeer,Shared room,1
Bos en Lommer,Private room,1
Slotervaart,Entire home/apt,1
De Pijp - Rivierenbuurt,Private room,1
Slotervaart,Private room,1
